date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:08:29	67/67	---M--	200	added ('OK')	text/plain	date:Sat,%2008%20Dec%202018%2010:08:40%20GMT	https://sweep.city/robots.txt		(from )
11:08:31	209727/209727	---M-Z	200	added ('OK')	text/html	date:Sat,%2008%20Dec%202018%2010:08:40%20GMT	https://sweep.city/	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/index.html	(from )
11:08:31	1683/1683	---M-Z	200	added ('OK')	text/css	etag:%22693-56cf33cb539fa-gzip%22	https://sweep.city/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.2	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/wp-content/plugins/contact-form-7/includes/css/stylesce52.css	(from https://sweep.city/)
11:08:31	39750/39750	---M-Z	200	added ('OK')	text/css	etag:%229b46-56f728d7f2ca5-gzip%22	https://sweep.city/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.8	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/wp-content/plugins/revslider/public/assets/css/settings23da.css	(from https://sweep.city/)
11:08:31	4343/4343	---M-Z	200	added ('OK')	text/css	etag:%2210f7-56cf53b6e4257-gzip%22	https://sweep.city/wp-content/themes/sceon/style.css?ver=4.9.8	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/wp-content/themes/sceon/style5010.css	(from https://sweep.city/)
11:08:32	527732/527732	---M-Z	200	added ('OK')	text/css	etag:%2280d74-56888edf2d57b-gzip%22	https://sweep.city/wp-content/themes/sceon/assets/css/modules.min.css?ver=4.9.8	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/wp-content/themes/sceon/assets/css/modules.min5010.css	(from https://sweep.city/)
11:08:32	56074/56074	---M-Z	200	added ('OK')	application/rss+xml	etag:%2246afa67cc1493c165c0352b866f17ee9-gzip%22	https://sweep.city/feed/	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/feed/index.html	(from https://sweep.city/)
11:08:32	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-56888f2dccb65-gzip%22	https://sweep.city/wp-content/themes/sceon/assets/css/font-awesome/css/font-awesome.min.css?ver=4.9.8	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/wp-content/themes/sceon/assets/css/font-awesome/css/font-awesome.min5010.css	(from https://sweep.city/)
11:08:32	21769/21769	---M-Z	200	added ('OK')	text/css	etag:%225509-56888f0e2a667-gzip%22	https://sweep.city/wp-content/themes/sceon/assets/css/elegant-icons/style.min.css?ver=4.9.8	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/wp-content/themes/sceon/assets/css/elegant-icons/style.min5010.css	(from https://sweep.city/)
11:08:33	7371/7371	---M-Z	200	added ('OK')	application/rss+xml	etag:%22bd6561cf317b6f4ae3f79a6d3a833805-gzip%22	https://sweep.city/comments/feed/	C:/Users/HP/Desktop/SiteTakeTaxi/sweep.city/comments/feed/index.html	(from https://sweep.city/)
